,City,Country,Latitude,Longitude,Temp (°F),Max Temp (°F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,bredasdorp,ZA,-34.5322,20.0403,55.4,55.4,82,2,4.61
1,port lincoln,CD,-7.0349,29.7638,72.3,72.3,71,65,8.08
2,mataura,NZ,-46.1927,168.8643,49.3,49.3,78,97,6.71
3,akcakoca,TR,41.0866,31.1162,34.75,34.75,86,53,5.93
4,ponta do sol,PT,38.7333,-28.2667,58.98,58.98,98,100,28.74
5,avarua,CK,-21.2078,-159.775,81.09,81.09,76,50,14.47
6,narsaq,GL,60.9167,-46.05,44.6,44.6,31,75,26.46
7,port elizabeth,CD,-7.0349,29.7638,72.3,72.3,71,65,8.08
8,atuona,PF,-9.8,-139.0333,78.98,78.98,75,16,18.57
9,upernavik,GL,72.7868,-56.1549,-12.82,-12.82,86,27,11.45
10,kapaa,US,22.0752,-159.319,74.52,75.2,73,90,17.27
11,pisco,PE,-13.7,-76.2167,74.86,77.0,61,0,16.11
12,busselton,AU,-33.65,115.3333,64.76,66.0,92,0,1.01
13,albany,US,42.6001,-73.9662,16.54,17.01,56,39,1.99
14,rikitea,PF,-23.1203,-134.9692,79.88,79.88,67,93,6.33
15,cockburn town,AU,-32.0833,141.0,77.0,77.0,78,90,8.05
16,ixtapa,MX,20.7,-105.2,79.45,79.45,50,70,3.31
17,hobart,AU,-42.8794,147.3294,61.86,64.99,55,75,13.8
18,mar del plata,ES,43.4002,-4.0094,54.07,55.0,100,0,2.86
19,ushuaia,AR,-54.8,-68.3,42.8,42.8,81,75,28.77
20,borogontsy,RU,62.6683,131.1683,-49.07,-49.07,75,97,1.77
21,tessalit,ML,20.1986,1.0114,65.34,65.34,27,0,13.91
22,sibolga,ID,1.7427,98.7792,75.4,75.4,70,100,4.21
23,mount isa,GB,53.6597,-1.8537,45.97,45.97,95,100,15.97
24,cherskiy,RU,68.75,161.3,-29.54,-29.54,85,61,2.66
25,chuy,UY,-33.6971,-53.4616,69.37,69.37,73,18,11.05
26,punta arenas,PH,8.9897,125.34,77.72,77.72,83,98,2.06
27,santa maria,PH,17.486,120.4348,72.72,72.72,66,9,10.45
28,lac du bonnet,AL,41.6356,19.7131,39.2,39.2,60,90,8.05
29,fort beaufort,NL,52.6517,6.3861,36.28,37.99,93,100,5.01
30,rocha,UY,-34.4833,-54.3333,71.74,71.74,50,11,13.49
31,hilo,US,19.7297,-155.09,74.46,78.8,57,90,8.05
32,torbay,CA,47.6666,-52.7314,22.82,22.82,91,100,11.65
33,sidi ali,CF,5.0829,19.8781,77.68,77.68,57,86,6.46
34,hervey bay,US,33.4982,-93.7771,44.33,46.4,49,1,4.16
35,gopalpur,IN,19.2667,84.9167,67.55,67.55,84,0,3.87
36,tuktoyaktuk,CA,69.4541,-133.0374,-28.5,-28.5,84,3,8.79
37,sobolevo,RU,54.4299,31.8996,25.74,25.74,98,95,5.48
38,pringsewu,ID,-5.3582,104.9744,72.91,72.91,92,97,1.41
